Country,base
Aruba,1
Ascension Island,1
Australia,1
Bahamas,1
Bahrain,1
Belgium,1
Bosnia and Herzegovina,1
British Indian Ocean Territory,1
Bulgaria ,1
Burkina Faso,1
Cameroon,1
Cuba,1
Curaçao,1
Cyprus,1
Djibouti,1
Ecuador,1
Estonia,1
Germany,1
Greece,1
Greenland,1
Honduras,1
Hungary,1
Iceland,1
Iraq,1
Israel,1
Italy,1
Japan,1
Jordan ,1
Kenya,1
Kosovo,1
Kuwait,1
Netherlands,1
Niger,1
Norway,1
Oman,1
Philippines,1
Poland,1
Portugal,1
Qatar,1
Romania,1
Saudi Arabia,1
Seychelles,1
Singapore,1
South Korea,1
Spain,1
Syria,1
Thailand,1
Tunisia,1
Turkey,1
United Arab Emirates,1
United Kingdom,1
