Country,base
Aruba,Yes
Ascension Island,Yes
Australia,Yes
Bahamas,Yes
Bahrain,Yes
Belgium,Yes
Bosnia and Herzegovina,Yes
British Indian Ocean Territory,Yes
Bulgaria ,Yes
Burkina Faso,Yes
Cameroon,Yes
Cuba,Yes
Curaçao,Yes
Cyprus,Yes
Djibouti,Yes
Ecuador,Yes
Estonia,Yes
Germany,Yes
Greece,Yes
Greenland,Yes
Honduras,Yes
Hungary,Yes
Iceland,Yes
Iraq,Yes
Israel,Yes
Italy,Yes
Japan,Yes
Jordan ,Yes
Kenya,Yes
Kosovo,Yes
Kuwait,Yes
Netherlands,Yes
Niger,Yes
Norway,Yes
Oman,Yes
Philippines,Yes
Poland,Yes
Portugal,Yes
Qatar,Yes
Romania,Yes
Saudi Arabia,Yes
Seychelles,Yes
Singapore,Yes
South Korea,Yes
Spain,Yes
Syria,Yes
Thailand,Yes
Tunisia,Yes
Turkey,Yes
United Arab Emirates,Yes
United Kingdom,Yes
